group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"btree_insert 10,000",,,,,33882492.0,ns,1
"btree_insert 10,000",,,,,64962228.0,ns,2
"btree_insert 10,000",,,,,96530499.0,ns,3
"btree_insert 10,000",,,,,130539343.0,ns,4
"btree_insert 10,000",,,,,159252478.0,ns,5
"btree_insert 10,000",,,,,192933207.0,ns,6
"btree_insert 10,000",,,,,224827601.0,ns,7
"btree_insert 10,000",,,,,257911704.0,ns,8
"btree_insert 10,000",,,,,292443496.0,ns,9
"btree_insert 10,000",,,,,330742192.0,ns,10
"btree_insert 10,000",,,,,361994672.0,ns,11
"btree_insert 10,000",,,,,385941350.0,ns,12
"btree_insert 10,000",,,,,418753540.0,ns,13
"btree_insert 10,000",,,,,450520003.0,ns,14
"btree_insert 10,000",,,,,479582401.0,ns,15
"btree_insert 10,000",,,,,532214423.0,ns,16
"btree_insert 10,000",,,,,552762307.0,ns,17
"btree_insert 10,000",,,,,578318780.0,ns,18
"btree_insert 10,000",,,,,607936300.0,ns,19
"btree_insert 10,000",,,,,643730852.0,ns,20
"btree_insert 10,000",,,,,675525101.0,ns,21
"btree_insert 10,000",,,,,723103208.0,ns,22
"btree_insert 10,000",,,,,758714716.0,ns,23
"btree_insert 10,000",,,,,800722716.0,ns,24
"btree_insert 10,000",,,,,826077039.0,ns,25
"btree_insert 10,000",,,,,850214833.0,ns,26
"btree_insert 10,000",,,,,875940417.0,ns,27
"btree_insert 10,000",,,,,911347379.0,ns,28
"btree_insert 10,000",,,,,944484007.0,ns,29
"btree_insert 10,000",,,,,1020446920.0,ns,30
"btree_insert 10,000",,,,,1002890799.0,ns,31
"btree_insert 10,000",,,,,1054103776.0,ns,32
"btree_insert 10,000",,,,,1063198349.0,ns,33
"btree_insert 10,000",,,,,1120572948.0,ns,34
"btree_insert 10,000",,,,,1137277386.0,ns,35
"btree_insert 10,000",,,,,1171247357.0,ns,36
"btree_insert 10,000",,,,,1201069267.0,ns,37
"btree_insert 10,000",,,,,1265367924.0,ns,38
"btree_insert 10,000",,,,,1288792484.0,ns,39
"btree_insert 10,000",,,,,1309734325.0,ns,40
"btree_insert 10,000",,,,,1336777709.0,ns,41
"btree_insert 10,000",,,,,1395697693.0,ns,42
"btree_insert 10,000",,,,,1401017824.0,ns,43
"btree_insert 10,000",,,,,1452021881.0,ns,44
"btree_insert 10,000",,,,,1459989479.0,ns,45
"btree_insert 10,000",,,,,1504363941.0,ns,46
"btree_insert 10,000",,,,,1737163968.0,ns,47
"btree_insert 10,000",,,,,1657565209.0,ns,48
"btree_insert 10,000",,,,,1592102421.0,ns,49
"btree_insert 10,000",,,,,1723212968.0,ns,50
"btree_insert 10,000",,,,,1693717907.0,ns,51
"btree_insert 10,000",,,,,1737157341.0,ns,52
"btree_insert 10,000",,,,,2029963758.0,ns,53
"btree_insert 10,000",,,,,1749502006.0,ns,54
"btree_insert 10,000",,,,,1758483789.0,ns,55
"btree_insert 10,000",,,,,1858971234.0,ns,56
"btree_insert 10,000",,,,,2192066628.0,ns,57
"btree_insert 10,000",,,,,1981356991.0,ns,58
"btree_insert 10,000",,,,,2204295817.0,ns,59
"btree_insert 10,000",,,,,2653486171.0,ns,60
"btree_insert 10,000",,,,,2144216601.0,ns,61
"btree_insert 10,000",,,,,2081979777.0,ns,62
"btree_insert 10,000",,,,,2046684434.0,ns,63
"btree_insert 10,000",,,,,2123315151.0,ns,64
"btree_insert 10,000",,,,,2151084388.0,ns,65
"btree_insert 10,000",,,,,2157289692.0,ns,66
"btree_insert 10,000",,,,,2199911114.0,ns,67
"btree_insert 10,000",,,,,2198060628.0,ns,68
"btree_insert 10,000",,,,,2231433634.0,ns,69
"btree_insert 10,000",,,,,2337593477.0,ns,70
"btree_insert 10,000",,,,,2373826679.0,ns,71
"btree_insert 10,000",,,,,2365289776.0,ns,72
"btree_insert 10,000",,,,,2376660898.0,ns,73
"btree_insert 10,000",,,,,2411357354.0,ns,74
"btree_insert 10,000",,,,,2434567242.0,ns,75
"btree_insert 10,000",,,,,2494713744.0,ns,76
"btree_insert 10,000",,,,,2502787595.0,ns,77
"btree_insert 10,000",,,,,2606753810.0,ns,78
"btree_insert 10,000",,,,,2588452432.0,ns,79
"btree_insert 10,000",,,,,2661504014.0,ns,80
"btree_insert 10,000",,,,,2627785792.0,ns,81
"btree_insert 10,000",,,,,2826864436.0,ns,82
"btree_insert 10,000",,,,,2784862505.0,ns,83
"btree_insert 10,000",,,,,2729043888.0,ns,84
"btree_insert 10,000",,,,,2791047262.0,ns,85
"btree_insert 10,000",,,,,2844099023.0,ns,86
"btree_insert 10,000",,,,,2837475934.0,ns,87
"btree_insert 10,000",,,,,2853555851.0,ns,88
"btree_insert 10,000",,,,,2911267721.0,ns,89
"btree_insert 10,000",,,,,2914247772.0,ns,90
"btree_insert 10,000",,,,,2956767810.0,ns,91
"btree_insert 10,000",,,,,3006236443.0,ns,92
"btree_insert 10,000",,,,,3014948345.0,ns,93
"btree_insert 10,000",,,,,3037371842.0,ns,94
"btree_insert 10,000",,,,,3067132006.0,ns,95
"btree_insert 10,000",,,,,3148791464.0,ns,96
"btree_insert 10,000",,,,,3117959478.0,ns,97
"btree_insert 10,000",,,,,3238322771.0,ns,98
"btree_insert 10,000",,,,,3165562912.0,ns,99
"btree_insert 10,000",,,,,3253367891.0,ns,100
