group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
btree_insert 10,,,,,986469.0,ns,154
btree_insert 10,,,,,1872715.0,ns,308
btree_insert 10,,,,,2959593.0,ns,462
btree_insert 10,,,,,4073203.0,ns,616
btree_insert 10,,,,,5097083.0,ns,770
btree_insert 10,,,,,5824120.0,ns,924
btree_insert 10,,,,,7337119.0,ns,1078
btree_insert 10,,,,,8509392.0,ns,1232
btree_insert 10,,,,,8984364.0,ns,1386
btree_insert 10,,,,,10127787.0,ns,1540
btree_insert 10,,,,,10539048.0,ns,1694
btree_insert 10,,,,,11865455.0,ns,1848
btree_insert 10,,,,,12974241.0,ns,2002
btree_insert 10,,,,,13522390.0,ns,2156
btree_insert 10,,,,,14676421.0,ns,2310
btree_insert 10,,,,,16128537.0,ns,2464
btree_insert 10,,,,,16688979.0,ns,2618
btree_insert 10,,,,,17431752.0,ns,2772
btree_insert 10,,,,,18815115.0,ns,2926
btree_insert 10,,,,,19678254.0,ns,3080
btree_insert 10,,,,,20477483.0,ns,3234
btree_insert 10,,,,,21604597.0,ns,3388
btree_insert 10,,,,,22576935.0,ns,3542
btree_insert 10,,,,,23623009.0,ns,3696
btree_insert 10,,,,,24886258.0,ns,3850
btree_insert 10,,,,,25393944.0,ns,4004
btree_insert 10,,,,,26617446.0,ns,4158
btree_insert 10,,,,,27081092.0,ns,4312
btree_insert 10,,,,,28265855.0,ns,4466
btree_insert 10,,,,,29277207.0,ns,4620
btree_insert 10,,,,,29968087.0,ns,4774
btree_insert 10,,,,,32194521.0,ns,4928
btree_insert 10,,,,,33902375.0,ns,5082
btree_insert 10,,,,,33870877.0,ns,5236
btree_insert 10,,,,,34307144.0,ns,5390
btree_insert 10,,,,,35361712.0,ns,5544
btree_insert 10,,,,,37541606.0,ns,5698
btree_insert 10,,,,,39108567.0,ns,5852
btree_insert 10,,,,,38887992.0,ns,6006
btree_insert 10,,,,,39109276.0,ns,6160
btree_insert 10,,,,,40972085.0,ns,6314
btree_insert 10,,,,,40805779.0,ns,6468
btree_insert 10,,,,,43296342.0,ns,6622
btree_insert 10,,,,,42905025.0,ns,6776
btree_insert 10,,,,,43993044.0,ns,6930
btree_insert 10,,,,,46832819.0,ns,7084
btree_insert 10,,,,,46237834.0,ns,7238
btree_insert 10,,,,,46858443.0,ns,7392
btree_insert 10,,,,,48391030.0,ns,7546
btree_insert 10,,,,,49276227.0,ns,7700
btree_insert 10,,,,,50064442.0,ns,7854
btree_insert 10,,,,,51312782.0,ns,8008
btree_insert 10,,,,,52581449.0,ns,8162
btree_insert 10,,,,,52882995.0,ns,8316
btree_insert 10,,,,,54723963.0,ns,8470
btree_insert 10,,,,,59712425.0,ns,8624
btree_insert 10,,,,,56305103.0,ns,8778
btree_insert 10,,,,,57109865.0,ns,8932
btree_insert 10,,,,,58235076.0,ns,9086
btree_insert 10,,,,,69864149.0,ns,9240
btree_insert 10,,,,,61138395.0,ns,9394
btree_insert 10,,,,,62097445.0,ns,9548
btree_insert 10,,,,,64486189.0,ns,9702
btree_insert 10,,,,,70054054.0,ns,9856
btree_insert 10,,,,,66553852.0,ns,10010
btree_insert 10,,,,,66576952.0,ns,10164
btree_insert 10,,,,,67425368.0,ns,10318
btree_insert 10,,,,,68933556.0,ns,10472
btree_insert 10,,,,,67512597.0,ns,10626
btree_insert 10,,,,,67947235.0,ns,10780
btree_insert 10,,,,,70975604.0,ns,10934
btree_insert 10,,,,,72178176.0,ns,11088
btree_insert 10,,,,,71545980.0,ns,11242
btree_insert 10,,,,,72091633.0,ns,11396
btree_insert 10,,,,,73449882.0,ns,11550
btree_insert 10,,,,,74483477.0,ns,11704
btree_insert 10,,,,,77472909.0,ns,11858
btree_insert 10,,,,,76760094.0,ns,12012
btree_insert 10,,,,,79233538.0,ns,12166
btree_insert 10,,,,,78030852.0,ns,12320
btree_insert 10,,,,,79261727.0,ns,12474
btree_insert 10,,,,,80827758.0,ns,12628
btree_insert 10,,,,,80748754.0,ns,12782
btree_insert 10,,,,,85919901.0,ns,12936
btree_insert 10,,,,,86562711.0,ns,13090
btree_insert 10,,,,,84970074.0,ns,13244
btree_insert 10,,,,,86082891.0,ns,13398
btree_insert 10,,,,,87434022.0,ns,13552
btree_insert 10,,,,,87310042.0,ns,13706
btree_insert 10,,,,,89124801.0,ns,13860
btree_insert 10,,,,,93468086.0,ns,14014
btree_insert 10,,,,,90255891.0,ns,14168
btree_insert 10,,,,,92508907.0,ns,14322
btree_insert 10,,,,,91866037.0,ns,14476
btree_insert 10,,,,,94627676.0,ns,14630
btree_insert 10,,,,,97845188.0,ns,14784
btree_insert 10,,,,,95703596.0,ns,14938
btree_insert 10,,,,,97934109.0,ns,15092
btree_insert 10,,,,,97136635.0,ns,15246
btree_insert 10,,,,,98412967.0,ns,15400
