group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
btree_insert 100,,,,,1149248.0,ns,11
btree_insert 100,,,,,2258708.0,ns,22
btree_insert 100,,,,,3413827.0,ns,33
btree_insert 100,,,,,4890029.0,ns,44
btree_insert 100,,,,,6679107.0,ns,55
btree_insert 100,,,,,6763989.0,ns,66
btree_insert 100,,,,,9121217.0,ns,77
btree_insert 100,,,,,9240008.0,ns,88
btree_insert 100,,,,,10645740.0,ns,99
btree_insert 100,,,,,10966798.0,ns,110
btree_insert 100,,,,,12661776.0,ns,121
btree_insert 100,,,,,13577900.0,ns,132
btree_insert 100,,,,,15582910.0,ns,143
btree_insert 100,,,,,15998921.0,ns,154
btree_insert 100,,,,,17168352.0,ns,165
btree_insert 100,,,,,18888498.0,ns,176
btree_insert 100,,,,,20093843.0,ns,187
btree_insert 100,,,,,20044966.0,ns,198
btree_insert 100,,,,,21140942.0,ns,209
btree_insert 100,,,,,22232869.0,ns,220
btree_insert 100,,,,,23941542.0,ns,231
btree_insert 100,,,,,24274305.0,ns,242
btree_insert 100,,,,,25867211.0,ns,253
btree_insert 100,,,,,26318027.0,ns,264
btree_insert 100,,,,,28099587.0,ns,275
btree_insert 100,,,,,28689891.0,ns,286
btree_insert 100,,,,,29306899.0,ns,297
btree_insert 100,,,,,31721934.0,ns,308
btree_insert 100,,,,,32423589.0,ns,319
btree_insert 100,,,,,32424766.0,ns,330
btree_insert 100,,,,,34077498.0,ns,341
btree_insert 100,,,,,34640913.0,ns,352
btree_insert 100,,,,,35114841.0,ns,363
btree_insert 100,,,,,36507113.0,ns,374
btree_insert 100,,,,,37892464.0,ns,385
btree_insert 100,,,,,38586036.0,ns,396
btree_insert 100,,,,,39937076.0,ns,407
btree_insert 100,,,,,41708312.0,ns,418
btree_insert 100,,,,,42255780.0,ns,429
btree_insert 100,,,,,44761929.0,ns,440
btree_insert 100,,,,,45551793.0,ns,451
btree_insert 100,,,,,46366701.0,ns,462
btree_insert 100,,,,,50909369.0,ns,473
btree_insert 100,,,,,49330997.0,ns,484
btree_insert 100,,,,,50365918.0,ns,495
btree_insert 100,,,,,51705743.0,ns,506
btree_insert 100,,,,,51799410.0,ns,517
btree_insert 100,,,,,51860548.0,ns,528
btree_insert 100,,,,,52472631.0,ns,539
btree_insert 100,,,,,55209942.0,ns,550
btree_insert 100,,,,,56360810.0,ns,561
btree_insert 100,,,,,54564242.0,ns,572
btree_insert 100,,,,,58152980.0,ns,583
btree_insert 100,,,,,58199703.0,ns,594
btree_insert 100,,,,,59494320.0,ns,605
btree_insert 100,,,,,60650399.0,ns,616
btree_insert 100,,,,,61227692.0,ns,627
btree_insert 100,,,,,64727416.0,ns,638
btree_insert 100,,,,,65120002.0,ns,649
btree_insert 100,,,,,65979774.0,ns,660
btree_insert 100,,,,,68935997.0,ns,671
btree_insert 100,,,,,68315897.0,ns,682
btree_insert 100,,,,,68980394.0,ns,693
btree_insert 100,,,,,73356265.0,ns,704
btree_insert 100,,,,,70847136.0,ns,715
btree_insert 100,,,,,70044458.0,ns,726
btree_insert 100,,,,,72449731.0,ns,737
btree_insert 100,,,,,74204365.0,ns,748
btree_insert 100,,,,,75173205.0,ns,759
btree_insert 100,,,,,75525240.0,ns,770
btree_insert 100,,,,,75574072.0,ns,781
btree_insert 100,,,,,77402753.0,ns,792
btree_insert 100,,,,,78346199.0,ns,803
btree_insert 100,,,,,81489144.0,ns,814
btree_insert 100,,,,,84556586.0,ns,825
btree_insert 100,,,,,83396559.0,ns,836
btree_insert 100,,,,,84122876.0,ns,847
btree_insert 100,,,,,85049775.0,ns,858
btree_insert 100,,,,,85340850.0,ns,869
btree_insert 100,,,,,86637086.0,ns,880
btree_insert 100,,,,,88056560.0,ns,891
btree_insert 100,,,,,89803568.0,ns,902
btree_insert 100,,,,,89617489.0,ns,913
btree_insert 100,,,,,91349149.0,ns,924
btree_insert 100,,,,,92140047.0,ns,935
btree_insert 100,,,,,95525342.0,ns,946
btree_insert 100,,,,,97528630.0,ns,957
btree_insert 100,,,,,97361758.0,ns,968
btree_insert 100,,,,,99681110.0,ns,979
btree_insert 100,,,,,99528629.0,ns,990
btree_insert 100,,,,,102284372.0,ns,1001
btree_insert 100,,,,,103674765.0,ns,1012
btree_insert 100,,,,,103468674.0,ns,1023
btree_insert 100,,,,,106213330.0,ns,1034
btree_insert 100,,,,,105514271.0,ns,1045
btree_insert 100,,,,,110860074.0,ns,1056
btree_insert 100,,,,,107567577.0,ns,1067
btree_insert 100,,,,,106033695.0,ns,1078
btree_insert 100,,,,,109363582.0,ns,1089
btree_insert 100,,,,,108097243.0,ns,1100
